"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Country of Origin","Location of death","Information Source",Coordinates,"Migration route",URL,"UNSD Geographical Grouping","Source Quality"
2024.MMP0014,2024.MMP0014,Europe,"Sat, 01/06/2024 - 12:00",2024,January,1,0,1,,1,,"Western Asia",Violence,Yemen,"Unspecified location at 'dam' between Poland and Belarus. Body reportedly dumped on Belarusian side through animal crossing gate.","IOM Belarus, State Border Committee of the Republic of Belarus, Wyborcza, 4May","53.082469, 23.88194","Belarus-EU border","https://t.me/gpkgovby/4316, https://archive.ph/8lCaR, https://archive.ph/oAUaM","Eastern Europe",5
2024.MMP0015,2024.MMP0015,Europe,"Mon, 01/15/2024 - 12:00",2024,January,1,0,3,,1,,Unknown,Drowning,Unknown,"La Barrosa Beach, Chiclana, Cádiz, Spain","La Voz de Cadiz, Diario de Cadiz","36.340701, -6.165406",,"https://archive.ph/qOrK8, https://archive.ph/qOrK8",Uncategorized,3
2024.MMP0016,2024.MMP0016,"Central America","Mon, 01/15/2024 - 12:00",2024,January,1,0,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo close to El Patinadero,Colonia Viveros, Nuevo Laredo, Tamaulipas, Mexico","Vox Populi, Hoy Tamaulipas","27.47853, -99.479495","US-Mexico border crossing","https://acortar.link/rCVFdS, https://acortar.link/LzWNeW","Central America",3
2024.MMP0017,2024.MMP0017,"Central America","Thu, 01/11/2024 - 12:00",2024,January,1,0,,,1,,Caribbean,"Sickness / lack of access to adequate healthcare",Haiti,"Undetermined location in Tizayuca, Hidalgo, Mexico","Vanguardia de Veracruz,90 Grados","19.8353, -98.991338",,"https://acortar.link/qvBWCp, https://acortar.link/qJDop3","Central America",3
2024.MMP0018,2024.MMP0018,"Central America","Mon, 01/08/2024 - 12:00",2024,January,1,0,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo close to Ejido Reynosa Díaz,Reynosa, Tamaulipas, Mexico","El Mañana, La Tarde","26.202764, -98.445646","US-Mexico border crossing","https://acortar.link/7l8kx9, https://acortar.link/Yh4zQj","Central America",3
2024.MMP0019,2024.MMP0019,"Central America","Tue, 01/16/2024 - 12:00",2024,January,1,0,2,,,1,"Sub-Saharan Africa (P)","Vehicle accident / death linked to hazardous transport",Unknown,"Close to Sufragio Train Station, Municipality of El Fuerte, Sinaloa, Mexico","El Universal, El Imparcial","26.052777, -108.786791",,"https://acortar.link/wyYgOx, https://acortar.link/xCGhun","Central America",3
2024.MMP0020,2024.MMP0020,"North America","Sat, 01/06/2024 - 12:00",2024,January,2,0,,1,1,,"Central America",Drowning,Honduras,"Rio Bravo in Del Rio, Val Verde County, Texas, United States of America","Super Channel 12","29.326981, -100.926655","US-Mexico border crossing",https://acortar.link/7t3mo7,"Northern America",1
2024.MMP0021,2024.MMP0021,Mediterranean,"Thu, 01/11/2024 - 12:00",2024,January,1,0,,,,,Unknown,"Mixed or unknown",Unknown,"Remains recovered at Brega, Libya","IOM Libya","30.413174, 19.609614","Central Mediterranean",,Uncategorized,4
2024.MMP0022,2024.MMP0022,Mediterranean,"Sun, 01/14/2024 - 12:00",2024,January,1,0,,,,,Unknown,"Mixed or unknown",Unknown,"Remains recovered in Celine area near Khoms, Libya","IOM Libya, UNHCR","32.661471, 14.255325","Central Mediterranean",,Uncategorized,4
2024.MMP0023,2024.MMP0023,Mediterranean,"Fri, 01/19/2024 - 12:00",2024,January,1,0,1,,1,,"Northern Africa",Drowning,Algeria,"Remains retreived near Fuente Caballo, Ribera de Ceuta, Ceuta, Spain","El Mundo, Tanja 24","35.885843, -5.311268","Western Mediterranean","https://archive.vn/s86jF, https://archive.vn/w9u5I",Uncategorized,3
2024.MMP0024,2024.MMP0024,Mediterranean,"Sat, 01/20/2024 - 12:00",2024,January,1,0,250,,1,,"Northern Africa",Drowning,Morocco,"At Guainos Beach, Almería, Spain - embarkation from Hoceima, Morocco","Centro Internacional Para la Identificacion de Migrantes Desaparecidos (CIPIMD), Dalil Rif, Tanja News, Diario de Almeria","36.746509, -3.070873","Western Mediterranean","https://archive.vn/GKSQ1, https://archive.vn/ZXZVu",Uncategorized,4
2024.MMP0025,2024.MMP0025,Mediterranean,"Thu, 01/11/2024 - 12:00",2024,January,,37,,,,,"Northern Africa",Drowning,Tunisia,"Unspecified location off the coast of Sfax, Tunisia en route to Lampedusa, Italy","Tunisian Guarde Nationale, Alarm Phone, Al Araby","34.704353, 11.561057","Central Mediterranean","https://www.facebook.com/DGGN1956/posts/pfbid02xUJ3qvsMuQx8uPDsreBcHQYGc2RhzdUCXcakUYFZxQMPaUTnV9JE2dHVez8HDqhel, https://archive.vn/iDOJw, https://archive.vn/Tvd8l",Uncategorized,5
2024.MMP0026,2024.MMP0026,Mediterranean,"Fri, 01/12/2024 - 12:00",2024,January,,36,,,,,Mixed,Drowning,Mixed,"Disappeared near the coast of Lampedusa, Italy after departing 11 January from Libya","Alarm Phone, Italian Coast Guard","35.20308, 12.763315","Central Mediterranean","https://archive.vn/mEdvz, https://archive.vn/Xf5en",Uncategorized,5
2024.MMP0027,2024.MMP0027,Mediterranean,"Fri, 01/19/2024 - 12:00",2024,January,4,0,38,,,,"Western / Southern Asia (P)",Drowning,Unknown,"Off Datça, Muğla, Türkiye","Turkish Coast Guard, İhlas Haber Ajansı","36.726777, 27.713407","Eastern Mediterranean","https://archive.vn/LxgqJ, https://archive.vn/dCaR1",Uncategorized,5
2024.MMP0028,2024.MMP0028,Mediterranean,"Sun, 01/21/2024 - 12:00",2024,January,,1,120,,,,"Western Asia (P)",Drowning,Unknown,"2 nautical miles off Cape Greco, Ayia Napa, Cyprus - departure from Lebanon","IOM Lebanon, Cyprus Mail","34.948057, 34.120637","Eastern Mediterranean",https://archive.vn/bLmgW,Uncategorized,4
2024.MMP0029,2024.MMP0029,Mediterranean,"Wed, 01/24/2024 - 12:00",2024,January,1,0,61,,,1,"Western Asia","Harsh environmental conditions / lack of adequate shelter, food, water","Syrian Arab Republic","In Makario Children's Hospital after rescue 30 nautical miles off Cape Greco, Cyprus - departure from Lebanon on 18 Jun","Cyprus Police, IOM Lebanon, in-cyprus philenews, NPA Syria, InfoMigrants, Knews","35.152032, 33.357636","Eastern Mediterranean","https://archive.vn/LJAGs, https://archive.vn/j0AHR, https://archive.vn/wip/vBExp, https://archive.ph/3Fn8h, https://archive.ph/Zb009, https://archive.ph/E4IJC",Uncategorized,5
2024.MMP0030,2024.MMP0030,Mediterranean,"Mon, 01/22/2024 - 12:00",2024,January,2,0,2,,,2,"Northern Africa","Vehicle accident / death linked to hazardous transport",Tunisia,"In a refrigeration container after departing from La Goulette port, Tunis, Tunisia en route to Italy","Diwan FM, InfoMigrants, Webdo","36.811907, 10.327894","Central Mediterranean","https://archive.vn/a6CQr, https://archive.vn/9C9Zg, https://archive.vn/bDbBm",Uncategorized,3
2024.MMP0031,2024.MMP0031,"Central America","Sat, 01/13/2024 - 12:00",2024,January,1,0,,1,,,Caribbean,"Sickness / lack of access to adequate healthcare",Cuba,"Unspecified location in Mexico City, Mexico",Cibercuba,"19.432642, -99.133955",,https://acortar.link/PoZOMY,"Central America",1
2024.MMP0032,2024.MMP0032,"North America","Sat, 01/20/2024 - 12:00",2024,January,1,0,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo close to Shelby Park, Eagle Pass, Maverick County, Texas, United States of America","Lieutenant Chris Olicares Texas Department of Public Safety - South Texas Region,Super Channel 12, La Opinion, El Mañana, Maverick County","28.707987, -100.510791","US-Mexico border crossing","https://archive.ph/YUjqN, https://acortar.link/P3QcKc, https://acortar.link/Mdc6Yg, https://acortar.link/A7b5At","Northern America",5
2024.MMP0033,2024.MMP0033,"Northern Africa","Fri, 01/26/2024 - 12:00",2024,January,2,0,69,1,1,,Unknown,"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"Remains on board a boat that arrived to La Restringa, El Hierro, Spain","EFE, El Diario","27.643604, -17.988703","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/pqo7Y, https://archive.ph/XMHyF",Uncategorized,3
2024.MMP0034,2024.MMP003434,"Northern Africa","Sat, 01/27/2024 - 12:00",2024,January,1,1,,,,,"Western Africa (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"La Estaca Port, El Hierro, Spain","EFE, El Diario","27.782386, -17.899699","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/1gWBi, https://archive.ph/XMHyF",Uncategorized,3
2024.MMP0034,2024.MMP003435,"Northern Africa","Sat, 01/27/2024 - 12:00",2024,January,1,0,,,1,,"Western Africa","Harsh environmental conditions / lack of adequate shelter, food, water",Mali,"La Estaca Port, El Hierro, Spain","EFE, El Diario","27.782386, -17.899699","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/1gWBi, https://archive.ph/XMHyF",Uncategorized,3
2024.MMP0034,2024.MMP003436,"Northern Africa","Sat, 01/27/2024 - 12:00",2024,January,1,0,,,1,,"Western Africa","Harsh environmental conditions / lack of adequate shelter, food, water",Mauritania,"La Estaca Port, El Hierro, Spain","EFE, El Diario","27.782386, -17.899699","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/1gWBi, https://archive.ph/XMHyF",Uncategorized,3
2024.MMP0035,2024.MMP0035,Mediterranean,"Thu, 01/25/2024 - 12:00",2024,January,1,0,50,,1,,"Northern Africa",Drowning,Tunisia,"Off the coast of Torre Salsa, Agrigento, Italy","UNHCR, Rai News, Giornale di Sicilia","37.363319, 13.322568","Central Mediterranean","https://www.rainews.it/tgr/sicilia/video/2024/01/sbarco-fantasma-agrigentino-siculiana-torre-salsa-morto-866c4f35-fe73-4295-b58f-c5cb5f51861a.html?wt_mc=2.www.tw.rainews24, https://archive.ph/Y64JY",Uncategorized,4
2024.MMP0036,2024.MMP0036,Europe,"Sat, 01/27/2024 - 12:00",2024,January,1,0,,,1,,"Northern Africa","Vehicle accident / death linked to hazardous transport",Sudan,"Avenue Henri Ravisse, Marck, France (in the industrial area of Transmarck)","Calais Border Monitoring, Delta FM, Calais Migrant Solidarity","50.94106, 1.935196","Mainland Europe to the UK","https://archive.ph/xZbme, https://archive.ph/B9Po0, https://perma.cc/YP2B-3644","Western Europe",4
2024.MMP0037,2024.MMP0037,Mediterranean,"Wed, 01/31/2024 - 12:00",2024,January,2,1,57,1,1,,Unknown,Drowning,Unknown,"Off the northeastern coast of Lesvos, Greece","Hellenic Coast Guard via IOM Greece, Reuters, Ekathinerini","39.398729, 26.382087","Eastern Mediterranean","https://archive.ph/POpKT, https://archive.ph/XxT9S",Uncategorized,5
2024.MMP0038,2024.MMP0038,Mediterranean,"Fri, 01/26/2024 - 12:00",2024,January,1,0,,,1,,"Northern Africa",Drowning,Morocco,"Remains washed ashore around El Recinto, Ceuta, Spain","Ceuta Actualidad, El Pueblo de Ceuta, El Faro de Ceuta, Press Tetoun","35.885355, -5.303257","Western Mediterranean","https://archive.ph/uC4hf, https://archive.ph/Bkfdo, https://archive.ph/aesQB, https://archive.ph/odglI",Uncategorized,3
2024.MMP0039,2024.MMP0039,"North America","Wed, 01/24/2024 - 12:00",2024,January,1,0,2,,1,,"Central America",Drowning,Nicaragua,"Rio Bravo south of Shelby Park, Eagle Pass, Maverick County,Texas, USA","News 4 San Antonio NBC, Texas Department of Public Safety - South Texas Region, 100% Noticias Nicaragua","28.704121, -100.51021","US-Mexico border crossing","https://acortar.link/mUHzdZ, https://archive.ph/F3SP4, https://acortar.link/afTGLE","Northern America",5
2024.MMP0041,2024.MMP0041,"Central America","Fri, 01/26/2024 - 12:00",2024,January,1,0,,,1,,"Latin America / Caribbean (P)","Vehicle accident / death linked to hazardous transport",Unknown,"Inside a train wagon in Aeropuerto neighborhood, Chihuahua, Chihuahua, Mexico","Tierra Fuerte, Al Instante","28.64181, -106.022992",,"https://acortar.link/negFGS, https://acortar.link/hOqZlI","Central America",3
2024.MMP0042,2024.MMP0042,"Central America","Mon, 01/22/2024 - 12:00",2024,January,1,0,,,1,,"Central America","Vehicle accident / death linked to hazardous transport",Mexico,"Roman Cepeda Avenue, Piedras Negras, Coahuila, Mexico","Zócalo, Super Channel 12","28.711619, -100.555956","US-Mexico border crossing","https://acortar.link/vpMr4L, https://acortar.link/KOK72q","Central America",3
2024.MMP0043,2024.MMP0043,"Central America","Mon, 01/29/2024 - 12:00",2024,January,1,0,,,1,,"Central America",Drowning,Mexico,"Rio Bravo close to an aquaduct in Guerro, Coahuila, Mexico","El Tiempo de Monclova, La Rancherita del Aire","28.532966, -100.403479","US-Mexico border crossing","https://acortar.link/Pk7xEd, https://acortar.link/mv1Obu","Central America",3
2024.MMP0044,2024.MMP0044,"Central America","Mon, 01/29/2024 - 12:00",2024,January,2,0,,,2,,"Central America",Violence,Honduras,"Periodistas neighborhood, Piedras Negras, Coahuila, Mexico","El Siglo de Torreon, Zócalo, Super Channel 12, Periodico La Voz","28.674555, -100.532942","US-Mexico border crossing","https://acortar.link/0jL8rP, https://acortar.link/gjtRFC, https://acortar.link/Paw7XL, https://acortar.link/gjtzJw","Central America",3
2024.MMP0045,2024.MMP0045,"South America","Mon, 01/29/2024 - 12:00",2024,January,3,0,38,1,,2,"South America",Drowning,"Venezuela (Bolivarian Republic of)","Urabá Gulf, close to the Village of Titumate, Ungía, Chocó, Colombia","Colombian Navy's Caribbean Naval Force, El Tiempo, Noticias Caracol, El Heraldo Colombia","8.30778, -77.074966",,"https://archive.ph/pDUIn, https://archive.ph/Uuybc, https://acortar.link/E9MXir, https://acortar.link/O0ZOjr, https://acortar.link/AuIlb3","South America",5
2024.MMP0046,2024.MMP0046,"Central America","Tue, 01/30/2024 - 12:00",2024,January,1,0,,,,1,"Latin America / Caribbean (P)",Drowning,Unknown,"Rio Bravo close to El Saucito,Guerro, Coahuila, Mexico","Zócalo, La Rancherita del Aire","28.531628, -100.401633","US-Mexico border crossing","https://acortar.link/w28fp7, https://acortar.link/7A2ONW","Central America",3
2024.MMP0047,2024.MMP0047,Mediterranean,"Sun, 01/28/2024 - 12:00",2024,January,1,0,,,1,,"Northern Africa",Drowning,Algeria,"Remains washed ashore at the port of Alicante, Spain","COPE, Caso Abierto","38.339858, -0.486404","Western Mediterranean","https://archive.ph/BK6xw, https://archive.ph/Zi6Vu",Uncategorized,3
2024.MMP0048,2024.MMP0048,"Western Asia","Tue, 01/30/2024 - 12:00",2024,January,3,0,7,3,,,"Eastern Africa",Violence,Ethiopia,"Ruwayk, Maa'rib, Yemen","Balqees News, Al-Ayyam, Humanitarian Partner","15.930142, 46.094568","Eastern Route to/from EHOA","https://archive.ph/vaFFJ, https://archive.ph/Xb3aP, https://archive.ph/HxQHV","Western Asia",4
2024.MMP0049,2024.MMP0049,Mediterranean,"Wed, 01/24/2024 - 12:00",2024,January,1,0,,1,,,"Western Asia","Mixed or unknown","Syrian Arab Republic","Remains recovered at Al-Arasa, Brega, Libya","IOM Libya","30.411696, 19.569398","Central Mediterranean",,Uncategorized,4
2024.MMP0050,2024.MMP0050,Mediterranean,"Wed, 01/24/2024 - 12:00",2024,January,1,0,,,,,Unknown,"Mixed or unknown",Unknown,"Remains recovered at Aldafniyah, Libya","IOM Libya","32.414738, 14.838217","Central Mediterranean",,Uncategorized,4
2024.MMP0051,2024.MMP0051,"Northern Africa","Fri, 01/26/2024 - 12:00",2024,January,7,0,,,,,"Northern Africa","Vehicle accident / death linked to hazardous transport",Egypt,"Bin Jawad, Srite Disrtict, Libya","Al Nabd, Al-Arabiya","30.794911, 18.094789",,"https://archive.ph/Zi8Fj, https://archive.ph/inLV9","Northern Africa",3
2024.MMP0052,2024.MMP0052,Caribbean,"Wed, 01/31/2024 - 12:00",2024,January,2,8,30,,,,"Latin America / Caribbean (P)",Drowning,Unknown,"Off the coast of Puerto Herminia beach, Quebradillas, Puerto Rico","USCG, El Nuevo Dia, US Customs and Border Patrol","18.48498, -66.904173","Caribbean to US","https://archive.ph/Cmff3, https://archive.ph/6sWMx, https://archive.ph/pKnue",Caribbean,5
2024.MMP0053,2024.MMP005354,Mediterranean,"Mon, 01/29/2024 - 12:00",2024,January,6,0,,,,,Unknown,"Mixed or unknown",Unknown,"Remains recovered off the coast of Sirte, Libya","GACS Sirte via IOM Libya","31.221672, 16.55287","Central Mediterranean",,Uncategorized,4
2024.MMP0053,2024.MMP005355,Mediterranean,"Thu, 02/01/2024 - 12:00",2024,February,1,0,,,,,Unknown,"Mixed or unknown",Unknown,"Remains washed ashore at Abugrein, Misrata, Libya","LRC via IOM Libya, UNHCR","31.499067, 15.249874","Central Mediterranean",,Uncategorized,4
2024.MMP0054,2024.MMP0054,Europe,"Thu, 02/01/2024 - 12:00",2024,February,1,0,,,,,"Southern Asia",Violence,Afghanistan,"Strada Căprioarei, Timișoara, Romania","Hot News, zonaTM","45.753, 21.261113",,"https://archive.ph/431Li, https://archive.ph/8b0Nn","Eastern Europe",3
2024.MMP0055,2024.MMP0055,Mediterranean,"Sun, 01/28/2024 - 12:00",2024,January,1,0,,,1,,Unknown,"Mixed or unknown",Unknown,"Remains washed ashore west of Sabratha, Libya","LRC via IOM Libya","32.821975, 12.365766","Central Mediterranean",,Uncategorized,4
2024.MMP0056,2024.MMP0056,"Central America","Sun, 02/04/2024 - 12:00",2024,February,9,0,,3,6,,Caribbean,"Vehicle accident / death linked to hazardous transport",Cuba,"Kilometer 134 of CA-2 near Nahualate, Guatemala","Instituto Guatemalteco de Migración, Tico Times, Twitter @RBCNoticiasGT, Twitter @JuanVistorCas1, Twitter @Mtuchez_19, Prensa Libre","14.439854, -91.375566",,"https://archive.ph/Yic5L, https://archive.ph/71lPa, https://archive.ph/8Alo4, https://archive.ph/7xGon, https://twitter.com/juanVictorCas1/status/1753753857601982526, https://archive.ph/ll1oa","Central America",5
2024.MMP0057,2024.MMP0057,Mediterranean,"Sun, 02/04/2024 - 12:00",2024,February,4,5,2,,1,,"Northern Africa",Drowning,Algeria,"Off Oued Righa, Filfila, Skikda, Algeria","Ennahar Online, Erraya Online","36.907645, 7.04963","Central Mediterranean","https://web.archive.org/web/20240212122153/https://www.ennaharonline.com/%D8%B3%D9%83%D9%8A%D9%83%D8%AF%D8%A9-%D9%87%D9%84%D8%A7%D9%83-4-%D8%AD%D8%B1%D8%A7%D9%82%D8%A9-%D9%88-%D9%85%D9%81%D9%82%D9%88%D8%AF%D9%8A%D9%86-%D9%B1%D8%AE%D8%B1%D9%8A%D9%86-%D8%A5%D8%AB%D8%B1/, https://web.archive.org/web/20240212122128/https://errayaonline.net/%D8%B4%D8%A7%D8%B7%D8%A6-%D9%88%D8%A7%D8%AF-%D8%B1%D9%8A%D8%BA%D8%A9-%D8%A8%D8%B3%D9%83%D9%8A%D9%83%D8%AF%D8%A9-%D9%85%D8%B5%D8%B1%D8%B9-5-%D8%B4%D8%A8%D8%A7%D9%86-%D9%88%D9%81%D9%82%D8%AF%D8%A7/",Uncategorized,3
2024.MMP0058,2024.MMP0058,"Northern Africa","Mon, 02/05/2024 - 12:00",2024,February,2,0,103,,,,"Northern Africa (P)","Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,"20 km south of Muelle de Arguineguín, Gran Canaria, Spain","Tiempo de Canarias, Antena 3, ABC, 112 Canarias Twitter","27.617195, -15.685876","Western Africa / Atlantic route to the Canary Islands","https://archive.ph/gmP5t, https://archive.ph/ZlLmV, https://archive.ph/oY5Mh, https://archive.ph/LK3cX",Uncategorized,5
2024.MMP0059,2024.MMP0059,"South-eastern Asia","Thu, 02/01/2024 - 12:00",2024,February,2,0,129,,,,"South-eastern Asia","Vehicle accident / death linked to hazardous transport",Myanmar,"KM 335 of Lebuh Raya Utara Selatan, near Bidor, Perak, Malaysia","Malaysia Gazette, The Star","4.152445, 101.301515",,"https://archive.ph/wCMta, https://archive.ph/dDBmz","South-eastern Asia",3
2024.MMP0060,2024.MMP0060,"North America","Tue, 02/06/2024 - 12:00",2024,February,1,0,,,1,,"Latin America / Caribbean (P)",Drowning,Unknown,"Tijuana River Channel near Dairy Mart Road and Camino de la Plaza in the San Ysidro area of San Diego, San Diego County, California, United States of America","San Diego Union Tribue, Patch, ABC 10, San Diego County Medical Examiner's Officer (SDCMEO)","32.542227, -117.045358","US-Mexico border crossing","https://archive.ph/hTd0B, https://archive.ph/oISKn, https://archive.ph/RsqII","Northern America",5
2024.MMP0061,2024.MMP0061,"Central America","Tue, 01/16/2024 - 12:00",2024,January,1,0,12,,1,,Caribbean,"Sickness / lack of access to adequate healthcare",Cuba,"Unspecified location in the Carribean Sea between Cuba and Isla Contoy, Quintana Roo, Mexico","14 y Medio, gob.mx, Cubanos por El Mundo, CiberCuba","21.335639, -85.530663","Caribbean to Central America","https://archive.ph/pduVh, https://archive.ph/Z75Ir, https://archive.ph/x3bg9, https://archive.ph/Ry1pY","Central America",3
